plant,treatment,CO2,species,rootLength,shootLength,rootDensity,rootDMC,freshCoarseRootMass,freshFineRootMass,dryCoarseRootMass,dryFineRootMass,coarseRootDMC,fineRootDMC,stemDensity,stemDMC,SLA,LDMC,freshShootBiomass,dryShootBiomass,shootDMC
C3,flooded,E,cas,87,58,0.268170426,0.262254902,4.142,1.767,1.012,0.482,0.244326412,0.272778721,0.403508772,0.368173258,21.46092184,0.322645291,13.76,3.715,0.269985465
C4,control,E,cas,75,85,0.404199475,0.362566215,23.375,22.399,7.278,4.217,0.311358289,0.188267333,0.447081158,0.673819742,18.98555276,0.380653266,53.908,20.334,0.37719819
C5,flooded,E,cas,73.5,58,0.295890411,0.27,7.525,2.996,1.548,0.753,0.205714286,0.251335113,0.430379747,0.392307692,22.24086604,0.403247632,18.521,6.712,0.362399438
C6,recovery,E,cas,83,85,0.375830013,0.348093481,21.764,13.399,4.754,2.471,0.218434111,0.184416748,0.461473328,0.409466566,21.971285,0.381191673,30.712,11.227,0.365557437
C7,flooded,E,cas,37.5,57.5,0.331730769,0.3,2.68,1.276,0.763,0.229,0.284701493,0.179467085,0.388499299,0.353767561,23.91223733,0.333745365,11.19,3.672,0.328150134
C8,control,E,cas,76,103.5,0.384311791,0.346993318,29.089,22.708,9.18,5.91,0.31558321,0.260260701,0.432341651,0.388362069,18.12755599,0.309152872,68.282,22.786,0.333704344
C9,control,E,cas,77,93.5,0.359732824,0.333333333,16.484,21.039,5.116,5.316,0.310361563,0.252673606,0.411026201,0.377254509,19.15921963,0.337319069,50.917,18.006,0.353634346
C10,recovery,E,cas,63,72,0.353548387,0.31712963,17.189,5.698,3.494,0.874,0.203269533,0.153387153,0.316010059,0.339945897,21.54694682,0.597504924,20.757,7.568,0.364599894
C11,recovery,E,cas,83,70.5,0.378186969,0.353642384,21.859,14.939,4.628,3.541,0.211720573,0.237030591,0.424710425,0.378006873,22.20326937,0.343994314,26.501,9.128,0.344439832
C12,flooded,E,cas,44.5,65,0.25862069,0.238095238,3.485,4.053,0.898,0.695,0.257675753,0.171477918,0.373626374,0.34,17.7920541,0.288250211,14.282,4.572,0.320123232
C13,recovery,A,cas,88.5,64,0.367400881,0.34264585,17.54,15.011,3.673,2.186,0.20940707,0.145626541,0.39271017,0.355319149,2.14247714,0.034912718,46.069,11.659,0.253076906
C14,control,A,cas,75,75,0.378109453,0.343225806,21.475,16.14,5.749,3.124,0.267706636,0.193556382,0.439882698,0.392054365,23.49090909,0.337373737,41.73,14.349,0.343853343
C15,recovery,A,cas,78,81.5,0.368253968,0.335745297,15.026,12.317,3.603,1.616,0.239784374,0.131200779,0.413843888,0.370712401,23.73426573,0.411888112,34.302,9.929,0.289458341
C16,control,A,cas,75,53,0.334041047,0.317845118,16.463,8.576,3.855,0.622,0.234161453,0.072527985,0.382352941,0.354085603,21.50901226,0.321557318,24.894,8.1,0.32537961
C17,recovery,A,cas,98,103,0.380705882,0.352045257,28.281,19.158,6.553,3.232,0.231710336,0.16870237,0.422914912,0.3770184,18.54090909,0.352272727,54.867,18.784,0.34235515
C18,recovery,A,cas,66,95.5,0.352579853,0.333333333,25.528,16.126,5.047,2.49,0.197704481,0.154409029,0.442604226,0.396419437,19.0528757,0.357142857,38.906,13.826,0.355369352
C19,flooded,A,cas,53,78.5,0.292639138,0.284467714,6.796,5.665,1.525,1.18,0.224396704,0.208296558,0.387878788,0.351648352,19.34043746,0.329781268,24.613,7.98,0.324218909
C20,control,A,cas,78,88,0.353975535,0.322423398,16.988,9.399,4.182,1.586,0.24617377,0.168741355,0.408010013,0.365470852,21.49933125,0.357556844,35.856,12.185,0.339831548
C21,flooded,A,cas,30.5,65.7,0.293522267,0.277246654,4.23,5.332,1.084,1.477,0.256264775,0.277006752,0.37716763,0.339401821,18.30343716,0.340494092,12.083,4.048,0.335016138
C22,flooded,A,cas,47.5,66,0.263059701,0.253597122,5.749,4.635,1.04,0.189,0.180901026,0.040776699,0.122129436,0.108333333,19.90915119,0.198938992,17.512,1.279,0.073035633
C23,control,A,cas,59,33.5,0.443502825,0.394472362,4.141,0.445,1.35,1.505,0.326008211,3.382022472,1.60944206,1.453488372,21.43016069,0.656365884,3.334,5.876,1.76244751
C24,flooded,A,cas,54,75,0.308924485,0.3,4.939,3.921,1.026,0.852,0.207734359,0.217291507,0.395480226,0.354969574,22.04714829,0.358174905,18.444,6.112,0.331381479
C25,control,E,cas,75,74,0.402521823,0.364354697,13.009,11.094,4.05,1.976,0.31132293,0.178114296,0.441570027,0.396634615,19.1826087,0.36173913,30.694,11.082,0.361047762
C26,recovery,E,cas,PHOTO,PHOTO,0.371257485,0.346799254,16.612,11.106,4.043,2.068,0.243378281,0.186205655,0.414685315,0.381105398,20.40697674,0.314637483,30.228,9.884,0.326981606
C27,flooded,E,cas,45.5,77.5,0.345628415,0.314676617,8.676,2.005,1.991,0.364,0.229483633,0.181546135,0.443141852,0.362763916,20.88134382,0.345246605,19.242,6.324,0.328656065
C28,recovery,E,cas,68,88,0.344277674,0.329739443,11.091,6.05,2.619,1.444,0.236137409,0.238677686,0.408390411,0.376479874,20.36245955,0.356796117,21.706,7.271,0.334976504
C29,recovery,E,cas,,,0.372318339,0.345314506,28.737,12.936,5.153,2.12,0.179315865,0.163883735,0.421637427,0.380876915,24.72481752,0.380291971,37.464,13.29,0.354740551
C31,control,E,cas,76,82,0.387351779,0.352095808,21.397,11.823,6.341,2.395,0.296349956,0.202571259,0.454366382,0.40115942,21.7599278,0.343862816,38.689,14.069,0.363643413
C32,flooded,E,cas,52.5,63.5,0.309751434,0.3,4.114,3.285,1.172,0.757,0.284880895,0.2304414,0.408921933,0.372040586,21.40220588,0.350735294,14.711,4.908,0.333627897
C33,recovery,E,cas,77,78.5,0.396592244,0.370675453,32.895,29.147,7.92,4.975,0.240766074,0.17068652,0.446930033,0.398556876,21.4813154,0.3632287,44.274,16.225,0.366467904
C34,flooded,E,cas,82,86,0.298657718,0.29592685,12.331,6.378,3.017,1.074,0.24466791,0.168391345,0.360745116,0.336868901,16.77577465,0.336338028,38.316,11.764,0.307025786
C35,control,E,cas,74,75,0.351898734,0.320645905,20.824,5.528,6.102,2.166,0.293027276,0.391823444,0.453505007,0.409032258,18.87719298,0.325614035,27.974,9.841,0.351790949
C36,flooded,E,cas,PHOTO,photo,0.355481728,0.341853035,10.359,6.894,2.231,1.455,0.215368279,0.21105309,0.400398406,0.361510791,20.12699514,0.400416378,17.309,6.397,0.369576521
C37,control,A,cas,76,78.5,0.344262295,0.313432836,22.601,10.58,3.937,1.364,0.174195832,0.128922495,0.405750799,0.364593301,18.76006441,0.353193773,25.771,8.484,0.329207248
C38,flooded,A,cas,47.5,83.5,0.302571861,0.291970803,5.955,3.814,1.433,0.995,0.240638119,0.260880965,0.362637363,0.329764454,22.58165939,0.32489083,19.259,6.11,0.317254271
C39,flooded,A,cas,88,70.5,0.341823056,0.326504481,7.084,4.935,1.869,0.397,0.263833992,0.080445795,0.374598071,0.33915575,22.79452055,0.337899543,23.962,7.528,0.314164093
C40,flooded,A,cas,PHOTO,photo,0.283707865,0.267195767,2.684,1.89,0.645,0.311,0.240312966,0.164550265,0.318584071,0.292682927,20.19836957,0.277173913,11.037,3.063,0.277521066
C41,control,A,cas,75.5,70.5,0.352154532,0.321355932,16.493,8.906,4.655,1.678,0.282240951,0.188412306,0.385321101,0.35443038,15.87600153,0.306753148,36.19,11.299,0.312213319
C42,control,A,cas,74,89,0.383810188,0.346347607,27.381,20.774,7.355,3.791,0.268616924,0.182487725,0.436757512,0.400641026,21.75761589,0.392715232,44.3,16.442,0.371151242
C43,recovery,A,cas,63.5,81.5,0.361403509,0.335504886,16.315,8.154,3.211,0.974,0.196812749,0.119450576,0.396081772,0.355776588,22.71376592,0.309278351,29.433,9.415,0.319879047
C44,recovery,A,cas,70,77,0.348998459,0.323802716,21.685,10.633,4.23,1.656,0.195065714,0.155741559,0.387157107,0.362099125,17.23988439,0.349710983,35.101,11.863,0.337967579
C45,flooded,A,cas,40.5,71.5,0.334862385,0.28968254,2.798,1.271,0.659,0.202,0.235525375,0.158929976,0.404040404,0.373831776,20.89604685,0.334553441,12.464,4.053,0.325176508
C46,recovery,A,cas,83,90,0.389878831,0.354274611,29.424,11.235,6.003,2.251,0.204017129,0.20035603,0.40302267,0.359550562,20.3272,0.3216,35.815,12.198,0.340583554
C47,control,A,cas,76,64,0.323636364,0.306544202,8.601,6.629,1.947,0.965,0.226369027,0.145572485,0.350249584,0.321128909,22.26855124,0.306537102,22.43,6.78,0.302273741
C48,recovery,A,cas,58,79.5,0.368361582,0.323412698,11.193,8.003,2.526,1.226,0.225676762,0.153192553,0.42459605,0.379310345,19.39976345,0.398580721,22.939,8.122,0.354069489
