plant,GH_start,treatment,CO2,species,dryCoarseRootMass,dryFineRootMass,coarseRootDMC,fineRootDMC,SLA,LDMC,dryShootBiomass,shootDMC,dryRootBiomass,RGRshoot,RGRfineRoot,RGRcoarseRoot,RGRroot,RMF,allrootDMC,dryBiomass,rootFineProportion,stemDMC,stemDensity,rootDensity,root density
C20,3,control,A,cas,4.182,1.586,0.24617377,0.168741355,21.49933125,0.357556844,12.185,0.339831548,5.768,0.059616667,0.008811111,0.023233333,0.032044444,0.321283351,0.220484973,17.953,0.274965326,0.365470852,0.408010013,0.345628415,0.353975535
C21,3,waterlogged,A,cas,1.084,1.477,0.256264775,0.277006752,18.30343716,0.340494092,4.048,0.335016138,2.561,0.020743421,0.009717105,0.007131579,0.016848684,0.387501891,0.237034012,6.609,0.576727841,0.339401821,0.37716763,0.344277674,0.293522267
C22,3,waterlogged,A,cas,1.04,0.189,0.180901026,0.040776699,19.90915119,0.198938992,1.279,0.073035633,1.229,0.005671053,0.001243421,0.006842105,0.008085526,0.490031898,0.174525472,2.508,0.153783564,0.108333333,0.122129436,0.372318339,0.263059701
C24,3,control,A,cas,1.35,0.1505,0.326008211,0.338202247,21.43016069,0.656365884,5.876,1.76244751,1.5005,0.027611111,0.000836111,0.0075,0.008336111,0.203416254,0.252834659,7.3765,0.1002999,NA,NA,0.268170426,0.443502825
C23,4,waterlogged,A,cas,1.026,0.852,0.207734359,0.217291507,22.04714829,0.358174905,6.112,0.331381479,1.878,0.034809211,0.005605263,0.00675,0.012355263,0.235043805,0.262974112,7.99,0.453674121,0.354969574,0.395480226,0.387351779,0.308924485
C25,4,control,E,cas,4.05,1.976,0.31132293,0.178114296,19.1826087,0.36173913,11.082,0.361047762,6.026,0.056505556,0.010977778,0.0225,0.033477778,0.352232874,0.260710907,17.108,0.32791238,0.396634615,0.441570027,0.309751434,0.402521823
C26,4,recovery,E,cas,4.043,2.068,0.243378281,0.186205655,20.40697674,0.314637483,9.884,0.326981606,6.111,0.049061111,0.011488889,0.022461111,0.03395,0.382056893,0.207843074,15.995,0.338406153,0.381105398,0.414685315,0.396592244,0.371257485
C27,4,waterlogged,E,cas,1.991,0.364,0.229483633,0.181546135,20.88134382,0.345246605,6.324,0.328656065,2.355,0.035940789,0.002394737,0.013098684,0.015493421,0.271344625,0.218664814,8.679,0.154564756,0.362763916,0.443141852,0.298657718,0.345628415
C28,4,recovery,E,cas,2.619,1.444,0.236137409,0.238677686,20.36245955,0.356796117,7.271,0.334976504,4.063,0.035294444,0.008022222,0.01455,0.022572222,0.358478913,0.313752277,11.334,0.355402412,0.376479874,0.408390411,0.351898734,0.344277674
C29,4,recovery,E,cas,5.153,2.12,0.179315865,0.163883735,24.72481752,0.380291971,13.29,0.354740551,7.273,0.066933333,0.011777778,0.028627778,0.040405556,0.353693527,0.213644004,20.563,0.291489069,0.380876915,0.421637427,0.355481728,0.372318339
